Reference,Value,Datasheet,Footprint,Qty,supplier,code,cost per item,cost,link
,,,,,,,,,
C4,0.1u,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,1,farnell,1902938,0.0832,0.0832,https://uk.farnell.com/multicomp-pro/mcrh100v104m5x11/cap-0-1uf-100v-alu-elec-radial/dp/1902938
"C2,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C21,C1,C7",100n,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23,farnell,2896746,0.1812,4.1676,https://uk.farnell.com/vishay/vj0805y104kxamt/cap-0-1-f-50v-10-x7r-0805/dp/2896746
"C3,C8",0.33u,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,farnell,2520759,0.1098,0.3294,https://uk.farnell.com/kemet/c0805c334k4racauto/cap-0-33-f-16v-10-x7r-0805/dp/2520759
C5,22000u,~,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,1,farnell,1973463,4.392,4.392,https://uk.farnell.com/panasonic/eeuhd1a223/cap-22000-f-10v-20/dp/1973463
C6,330u,~,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,1,farnell,1855174,0.6408,0.6408,https://uk.farnell.com/panasonic/eeufc1v331l/cap-330-f-35v-20/dp/1855174
"C19,C20",10u,~,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,2,farnell,9452036,0.093,0.186,https://uk.farnell.com/multicomp/mcrh63v106m5x11/cap-10-f-63v-20/dp/9452036
D1,D_Schottky,~,Diode_THT:D_A-405_P7.62mm_Horizontal,1,farnell,2918848,0.3648,0.3648,https://uk.farnell.com/rohm/rb050lam-40tr/schottky-rect-single-40v-sod-128/dp/2918848?MER=sy-me-pd-mi-alte
"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12",LED,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,16,farnell,2829442,0.2796,4.4736,https://uk.farnell.com/rohm/sml-h12m8tt86c/chip-led-aec-q101-yel-grn-25mcd/dp/2829442
"D13,D14",D,~,Diode_THT:D_A-405_P7.62mm_Horizontal,3,farnell,2677364,0.4068,1.2204,https://uk.farnell.com/taiwan-semiconductor/1n5398/rectifier-single-800v-1-5a-do/dp/2677364
J2,"programmer, xt60",~,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,2,farnell,1593461,0.2616,0.5232,https://uk.farnell.com/multicomp/2212s-05sg-85/socket-pcb-1-row-5way/dp/1593461
,,,,,,,,0,
"L1,M1,M2",ElectromagneticActor,~,TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,3,farnell,3817460,0.5832,1.7496,https://uk.farnell.com/multicomp-pro/mp008513/tb-wire-to-brd-r-a-2way-18awg/dp/3817460
L2,180u,~,Inductor_SMD:L_Bourns_SRR1208_12.7x12.7mm,1,farnell,2333808,0.9252,0.9252,https://uk.farnell.com/bourns/srr1206-181kl/inductor-180uh-10-0-8a-smd/dp/2333808
,,,,,,,,0,
M3,Stepper_Motor_bipolar,,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,1,farnell,1593460,0.21,0.21,https://uk.farnell.com/multicomp/2212s-04sg-85/socket-pcb-1-row-4way/dp/1593460
,,,,,,,,0,
R1,10,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,farnell,2073604,0.0152,0.0152,https://uk.farnell.com/multicomp/mcmr08x100-jtl/res-10r-5-0-125w-0805-ceramic/dp/2073604
R2,10k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,farnell,2825855,0.0886,0.1772,https://uk.farnell.com/multicomp/mchvr05ftew1002/res-10k-1-0-125w-0805-thick-film/dp/2825855
"R3,R23,R24",4k7,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,farnell,3495339,0.0203,0.0609,https://uk.farnell.com/yageo/ac0805jr-074k7l/res-4k7-5-0-125w-0805-thick-film/dp/3495339
R4,6.8k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,farnell,2908421,0.0144,0.0144,https://uk.farnell.com/bourns/cr0805-fx-6801elf/res-6k8-1-0805-thick-film/dp/2908421
R5,39k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,farnell,2073761,0.0188,0.0188,https://uk.farnell.com/multicomp/mcmr08x3902ftl/res-39k-1-0-125w-0805-ceramic/dp/2073761
R6,68k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,farnell,2861918,0.0143,0.0143,https://uk.farnell.com/te-connectivity/crgcq0805j68k/res-68k-5-0805-thick-film/dp/2861918
"R7,R8,R9,R10",0,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,farnell,9233750,0.0181,0.0724,https://uk.farnell.com/yageo/rc0805jr-070rl/res-0r0-5-0-125w-0805-thick-film/dp/9233750
"R11,R22",1k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,farnell,2861907,0.0145,0.029,https://uk.farnell.com/te-connectivity/crgcq0805j1k0/res-1k-5-0805-thick-film/dp/2861907
